Title,Ratings,Price
        100 ft Power Extension Cord Outdoor & Indoor Heavy Duty 10 Gauge/3 Prong SJTW (Black) Lighted end Extra Durability 15 AMP 125 Volts 1875 Watts by LifeSupplyUSA       ,4.2 out of 5 stars,123
"        TP UFO Slim Design 6-Outlet Clear-Blue Round Power Center, 3 Quick Charging USB Ports, 4-Ft Heavy Duty Power Cord, Tabletop Surge Protector EMI-/RFI-Filter for Home Office Meeting Room UL Listed       ",4.0 out of 5 stars,119
"        INCHOR Cord Organizer, Cable Clips Cord Holder, Cable Management USB Cable Power Wire Cord Clips, 2 Packs Cable Organizers for Car Home and Office (5, 3 Slots)       ",3.5 out of 5 stars,230
"        Car Charger 66W Super Fast Charging with USB PD&QC 3.0(Voltmeter&LED Lights) Universal Quick Charge for 12-24V Car Cigarette Lighter Plug,Compatible with iPhone 14 13 12,S22 S21 S20,iPad (BK351)       ",4.5 out of 5 stars,240
"        Power Strip Surge Protector, 5Ft Extension Cord, 6 Outlets with 3 USB Ports(1 USB C Outlet), 3-Side Outlet Extender, Wall Mount, Compact for Travel, Home, School, College Dorm Room, and Office       ",4.8 out of 5 stars,670
"        90 Degree iPhone Charger 6FT, [Apple MFi Certified] 3Pack Fast Charging Cables Cord,6Feet Right Angle Nylon Braided USB Lightning Cable for iPhone 14/13/12/11/Pro/Max/Mini/X/Plus/8/7/6/5S/SE/Plus/iPad       ",4.6 out of 5 stars,800
        Ultra Strong Magnetic Airpod Pro Strap Anti-Lost Cord Sports Lanyard Compatible with Airpods 3rd 2nd Generation Pro 3 2 1 (Grey)       ,4.4 out of 5 stars,900
"        Charging Station for Multiple Devices 40W Upoy, Wall Charger Block 5 USB Ports(Shared 6A), USB Charging Hub Smart IC, Charger Tower with Type-C 3A for iPhone iPad Tablets Smartphones, Home Office Use       ",4.6 out of 5 stars,542
        iPhone Fast Charger [Apple MFi Certified] 10FT Extra Long Fast Charging Lightning Cable with USB C Charger Block 20W PD Travel Plug for iPhone 14/Pro/Pro Max/Plus/13/12/11/Mini/Pro/XS/XR/SE 2022/iPad       ,4.2 out of 5 stars,321
"        Power Strip Surge Protector with USB-C (3.0A), 5 ft Flat Extension Cord, Power Strip with 3 Outlets 3 USB Ports (5V/3.4A), Desktop Charging Station, Compact for Home,Travel,Office(White 1 Pack)       ",4.8 out of 5 stars,120
        iPhone Charger [Apple MFi Certified] 3Pack 6FT Lightning Cable Nylon Braided iPhone Charging Cable Fast Charging iPhone Charger Cord Compatible with iPhone 14 13 12 11 Pro Max XR XS X 8 7 6 Plus SE       ,4.7 out of 5 stars,99
"        Micger Galaxy S22 Plus Screen Protector, 2 Pack Screen Protector, 2 Pack Camera Lens Protector【2+2 Pack】Compatible Fingerprint, 3D Glass 9H Hardness Tempered Glass Screen Protector for Samsung Galaxy S22+ Plus 5g       ",4.9 out of 5 stars,87
"        10-in-1 Laptop Keyboard Cleaner Cleaning Kit, Electronics Screen Cleaner Repair Tool with 3 in 1 Earbud Cleaner Pen, Camera Lens Pen, Suit for MacBook iPad, iPhone, Cell Phone, PC Monitor with Patent       ",4.6 out of 5 stars,459
"        FYY Travel Cable Organizer Pouch Electronic Accessories Carry Case Portable Waterproof Double Layers All-in-One Storage Bag for Cord, Charger, Phone, Earphone Black       ",4.5 out of 5 stars,321
"        AnnTane Surge Protector Power Strip 10 FT Cord, Power Strip Tower with 4 USB Ports (1USB C), Extension Cord with 12 AC Multiple Outlets, Home Office Supplies Desk Accessories, Dorm Room Essentials       ",4.8 out of 5 stars,989
"        Non Surge Protector for Cruise Essentials - POWSAV Multi Plug Outlet with 3 USB Ports(3.0A Total) and 3-Outlet Extender with 3 Way Splitter for Cruise Ship, Travel, Home, Office, ETL Listed       ",4.7 out of 5 stars,789
"        Arae Electronic Organizer, Travel Cable Organizer, Double Layers Portable Waterproof Pouch, Electronic Accessories Storage Case for Cable, Cord, Charger, Phone, Earphone (Black)       ",4.6 out of 5 stars,31
"        Intoval Wireless Charging Station, 3 in 1 Charger for Apple iPhone/iWatch/Airpods,iPhone 14,13,12,11 (Pro,Pro Max)/XS/XR/XS/X/8(Plus),iWatch 8/Ultra/7/6/SE/5/4/3/2,Airpods Pro2/Pro1/3/2/1 (A3,White)       ",4.4 out of 5 stars,238
        Phone Holder Mount for Car [ Off-Road Level & Stable Hook ] Windshield Dashboard Air Vent Universal Hands-Free Automobile Mounts Cell Phone Holder Fit for iPhone Smartphones       ,4.3 out of 5 stars,765
"        BAGSMART Electronics Travel Organizer, Large Charger Organizer Bag for Travel Essentials, Portable Tech Organizer as Travel Accessories, Travel Cord Storage Bag with Handle for Tablet, Earphone, Black       ",4.6 out of 5 stars,124
        LISEN Desk Organizers and Accessories Workspace Cell Phone Stand White Height Angle Adjustable Stable Holder Sturdy Stand for 4-10in iPhone 13 Pro iPad Kindel Samsung etc       ,4.5 out of 5 stars,875
"        LIANSUM USB to DC 5V Power Cord, Universal DC 5.5x2.1mm Plug Jack Charging Cable with 10 Connector Tips(5.5x2.5, 4.8x1.7, 4.0x1.7, 4.0x1.35, 3.5x1.35, 3.0x1.1, 2.5x0.7, Micro USB, Type-C, Mini USB)5FT       ",4.3 out of 5 stars,
"        Tower Power Strip with 12 Outlets 4 USB Chargers, AOFO Surge Protector Charging Station with Overload Protection, Widely Spaced Multiple Outlets 10Ft Long Extension Cord for Home, Dorm & Office       ",4.7 out of 5 stars,
"        DDgro Electronics Travel Organizer, Tech Accessories Pouch Bag for Cables/Charger & Cords/Power Bank/Magic Mouse/Earphone (Small, Black)       ",4.5 out of 5 stars,
"        3 in 1 Wireless Charger Station,RUI MAI LAI for Apple iWatch 7/6/SE/5/4/3/2, Airpods 3/2/pro,iPhone 13/12/11 (Pro, Pro Max)/XS/XR/XS/X/8(Plus),iWatch       ",4.3 out of 5 stars,
"        Crpich Acrylic Cell Phone Stand, Portable Phone Holder, Clear Phone Stand for Desk, Compatible with Phone14 13 12 Pro Max Mini 11 Xr Plus SE, Switch, Android Smartphone, Pad, Tablet, Desk Accessories       ",4.7 out of 5 stars,
"        QQLIKE USB Type c Cable, 5 Pack (6FT) Nylon Braided 3A Fast Charging Cord for Samsung Galaxy S9 S8 Note 9 Note 8 Galaxy Note 20 10 S21 S20 S10 Plus       ",4.6 out of 5 stars,
"        Glendan Light Box Photography, 10""x10"" Photo Box with 88 High Color Rendering Index LED Lights, 6 Color PVC Backdrops, 4 Reflection Boards and 1 Diffuser for Jewelry and Small Item Product Photography       ",4.5 out of 5 stars,
"        BLAVOR Solar Charger Power Bank, Qi Wireless Charger 10,000mAh External Battery Pack Type C Input Output Dual Super Bright Flashlight, Compass Carabiner, Solar Panel Charging (Orange)       ",4.4 out of 5 stars,
